Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,CoG_($),Microorganism
1857161831,0.861174897,1000000,3.75,0.07913208,0.590552101,B. thuringiensis (Batch)
1809007279,0.830700439,1000000,3.75,0.089419116,0.627223368,B. thuringiensis (Batch)
1700932055,0.840532743,1000000,3.75,0.110955951,0.656434228,B. thuringiensis (Batch)
1759936775,0.842451748,1000000,3.75,0.094839443,0.635029585,B. thuringiensis (Batch)
1696932881,0.8821776,1000000,3.75,0.126882833,0.624914971,B. thuringiensis (Batch)
1675357491,0.788082558,1000000,3.75,0.068790485,0.716828653,B. thuringiensis (Batch)
1586277117,0.704845226,1000000,3.75,0.061132843,0.847780552,B. thuringiensis (Batch)
1736778624,0.749904277,1000000,3.75,0.094835585,0.72291311,B. thuringiensis (Batch)
1928846888,0.865672813,1000000,3.75,0.08893557,0.564543533,B. thuringiensis (Batch)
1828509701,0.840334282,1000000,3.75,0.085019493,0.613959187,B. thuringiensis (Batch)
1571295264,0.827941271,1000000,3.75,0.081510077,0.725664506,B. thuringiensis (Batch)
1603658331,0.866405732,1000000,3.75,0.057864265,0.68266124,B. thuringiensis (Batch)
1732563571,0.793438349,1000000,3.75,0.074672178,0.68767505,B. thuringiensis (Batch)
1933773644,0.807241873,1000000,3.75,0.097513456,0.602829135,B. thuringiensis (Batch)
1932303844,0.821446664,1000000,3.75,0.042844856,0.599346129,B. thuringiensis (Batch)
1819435098,0.791807598,1000000,3.75,0.063698226,0.657625238,B. thuringiensis (Batch)
1634652701,0.922743736,1000000,3.75,0.021531178,0.633367397,B. thuringiensis (Batch)
1902294067,0.837964988,1000000,3.75,0.082737484,0.592083914,B. thuringiensis (Batch)
1708972303,0.843078577,1000000,3.75,0.033808598,0.66146388,B. thuringiensis (Batch)
1740250689,0.828284128,1000000,3.75,0.097453744,0.652856289,B. thuringiensis (Batch)
1760318482,0.811900156,1000000,3.75,0.108703819,0.656954526,B. thuringiensis (Batch)
1596746029,0.84877609,1000000,3.75,0.067001858,0.698586567,B. thuringiensis (Batch)
1857366966,0.848479435,1000000,3.75,0.096642192,0.597228172,B. thuringiensis (Batch)
1826102302,0.841708623,1000000,3.75,0.082111888,0.614121293,B. thuringiensis (Batch)
1694951149,0.827639931,1000000,3.75,0.142250683,0.664808237,B. thuringiensis (Batch)
1773661497,0.72660872,1000000,3.75,0.135978165,0.724559079,B. thuringiensis (Batch)
1906315385,0.775953739,1000000,3.75,0.095983447,0.636364612,B. thuringiensis (Batch)
1603030575,0.814238398,1000000,3.75,0.068879816,0.725092569,B. thuringiensis (Batch)
1633164333,0.846448662,1000000,3.75,0.121528684,0.677453184,B. thuringiensis (Batch)
1776333235,0.843097895,1000000,3.75,0.071829282,0.631581284,B. thuringiensis (Batch)
1710407489,0.794993762,1000000,3.75,0.128200736,0.687801299,B. thuringiensis (Batch)
1778012893,0.845464619,1000000,3.75,0.066884514,0.629838221,B. thuringiensis (Batch)
1737521989,0.920274905,1000000,3.75,0.10357881,0.587797603,B. thuringiensis (Batch)
1828112759,0.912278182,1000000,3.75,0.073537445,0.566961538,B. thuringiensis (Batch)
1801525421,0.8057084,1000000,3.75,0.0770118,0.650975643,B. thuringiensis (Batch)
1720252860,0.763709794,1000000,3.75,0.081058785,0.718640501,B. thuringiensis (Batch)
1879260634,0.861198677,1000000,3.75,0.090113479,0.582312771,B. thuringiensis (Batch)
1849781511,0.866439129,1000000,3.75,0.088642291,0.588187706,B. thuringiensis (Batch)
1583304318,0.806702895,1000000,3.75,0.022410817,0.74784041,B. thuringiensis (Batch)
1765459452,0.849760381,1000000,3.75,0.053922993,0.632738321,B. thuringiensis (Batch)
1742972985,0.873937774,1000000,3.75,0.112353997,0.615941849,B. thuringiensis (Batch)
1839436944,0.855701652,1000000,3.75,0.08109878,0.599820902,B. thuringiensis (Batch)
1812575276,0.87321694,1000000,3.75,0.086668178,0.595837166,B. thuringiensis (Batch)
1644192009,0.783562332,1000000,3.75,0.03956015,0.738905519,B. thuringiensis (Batch)
1963863330,0.783690455,1000000,3.75,0.070298269,0.614763872,B. thuringiensis (Batch)
1818985121,0.80185325,1000000,3.75,0.094378011,0.645583067,B. thuringiensis (Batch)
1745537668,0.745144897,1000000,3.75,0.096350121,0.723660327,B. thuringiensis (Batch)
1848790813,0.838871898,1000000,3.75,0.095789722,0.606973915,B. thuringiensis (Batch)
1836738684,0.75929029,1000000,3.75,0.094336871,0.675187709,B. thuringiensis (Batch)
1894755729,0.82525564,1000000,3.75,0.084015798,0.603440136,B. thuringiensis (Batch)
1574891336,0.711679051,1000000,3.75,0.061183628,0.845701518,B. thuringiensis (Batch)
1584537280,0.818037284,1000000,3.75,0.074929863,0.729269018,B. thuringiensis (Batch)
1635311926,0.834619667,1000000,3.75,0.07988719,0.691902138,B. thuringiensis (Batch)
1639572289,0.777824508,1000000,3.75,0.096718374,0.738007043,B. thuringiensis (Batch)
1699014298,0.711803064,1000000,3.75,0.116461203,0.775167503,B. thuringiensis (Batch)
1831564522,0.848817965,1000000,3.75,0.090418951,0.606154552,B. thuringiensis (Batch)
1778102425,0.829062453,1000000,3.75,0.030480633,0.646920478,B. thuringiensis (Batch)
1625376362,0.895195081,1000000,3.75,0.084381634,0.648444128,B. thuringiensis (Batch)
1877911843,0.937651256,1000000,3.75,0.089436883,0.535289717,B. thuringiensis (Batch)
1795524037,0.825142158,1000000,3.75,0.090552176,0.636046087,B. thuringiensis (Batch)
1857692676,0.850134263,1000000,3.75,0.077773653,0.598212716,B. thuringiensis (Batch)
1729174647,0.842500309,1000000,3.75,0.09961101,0.645672295,B. thuringiensis (Batch)
1770413800,0.838075703,1000000,3.75,0.036273989,0.642006461,B. thuringiensis (Batch)
1745551196,0.893326418,1000000,3.75,0.042582075,0.610115884,B. thuringiensis (Batch)
1732630276,0.739624064,1000000,3.75,0.019021658,0.745865148,B. thuringiensis (Batch)
1778233804,0.761661323,1000000,3.75,0.088452381,0.69604955,B. thuringiensis (Batch)
1543266963,0.819245383,1000000,3.75,0.096536254,0.744446468,B. thuringiensis (Batch)
1884957285,0.841057532,1000000,3.75,0.127228279,0.590043701,B. thuringiensis (Batch)
1613358687,0.841697734,1000000,3.75,0.096502793,0.693113497,B. thuringiensis (Batch)
1613797308,0.880018817,1000000,3.75,0.134205898,0.657747964,B. thuringiensis (Batch)
1624769259,0.840457387,1000000,3.75,0.069194711,0.693030286,B. thuringiensis (Batch)
1766625226,0.72867942,1000000,3.75,0.076788116,0.734042944,B. thuringiensis (Batch)
1919312409,0.891641994,1000000,3.75,0.1326248,0.546012749,B. thuringiensis (Batch)
1790865292,0.737926535,1000000,3.75,0.071204529,0.715829689,B. thuringiensis (Batch)
1660008175,0.725473736,1000000,3.75,0.087046399,0.783034769,B. thuringiensis (Batch)
